"activity","category","total_minutes","total_hours","days_active","days_active_pct","sessions","avg_session_min","avg_per_day_min","longest_streak","longest_gap","trend_3month","trend_recent","typical_hour","duration_consistency","top_correlation","top_preceding","top_following"
"P. Work","Life Duties",41015,683.583333333333,349,66.0984848484848,1101,37.252497729337,77.6799242424242,491,2,15.5445819565166,-25.9848982271832,14,130.006227734215,"Progress Libs (-0.23)","bathroom (10%)","bathroom (10%)"
"socializing","Life Duties",36719,611.983333333333,247,46.780303030303,498,73.7329317269076,69.5435606060606,491,2,25.0191916036657,11.3821138211382,17,117.251751741269,"roommates (-0.15)","Progress Libs (11%)","bathroom (11%)"
"Progress Libs","Life Duties",36369,606.15,211,39.9621212121212,1213,29.9826875515251,68.8806818181818,491,2,803.441264928361,NA,14,163.670319994367,"P. Work (-0.23)","Socials (17%)","Socials (16%)"
"Connecticut","Life Duties",32130,535.5,84,15.9090909090909,617,52.0745542949757,60.8522727272727,491,2,51.0028966595693,NA,13,109.425864735575,"business travel (0.31)","bathroom (19%)","bathroom (22%)"
"TV","Life Duties",27872,464.533333333333,287,54.3560606060606,515,54.1203883495146,52.7878787878788,491,2,-35.8099734092175,-72.3013048635824,17,91.320308735203,"Socials (-0.09)","Eating (12%)","bathroom (11%)"
"video games","Life Duties",22097,368.283333333333,237,44.8863636363636,434,50.9147465437788,41.8503787878788,491,2,25.2890156493342,-4.2732470659043,15,89.0026371462051,"youtube (0.28)","Morning routine (13%)","bathroom (11%)"
"Morning routine","Life Duties",17930,298.833333333333,490,92.8030303030303,785,22.8407643312102,33.9583333333333,491,2,-0.47663248481763,-6.24442462087423,9,72.9212447091229,"bathroom (0.06)","bathroom (23%)","P. Work (8%)"
"podcasts","Life Duties",14501,241.683333333333,262,49.6212121212121,511,28.3776908023483,27.4640151515152,491,2,-20.5446739498794,-9.52970297029703,14,100.203409668731,"Reading (0.1)","Morning routine (8%)","P. Work (8%)"
"Socials","Life Duties",13336,222.266666666667,319,60.4166666666667,857,15.561260210035,25.2575757575758,491,2,64.8831338620153,170.149253731343,15,132.251476981107,"video games (0.15)","Progress Libs (23%)","Progress Libs (24%)"
"transit","Life Duties",12624,210.4,235,44.5075757575758,513,24.6081871345029,23.9090909090909,491,2,18.4934446439442,-69.4704049844237,14,89.5075481583092,"driving (0.07)","Walks (11%)","Walks (9%)"
